date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:42	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2002%20Aug%202018%2006:32:40%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.eot	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.eot	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:42	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2002%20Aug%202018%2006:32:41%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.eot?	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regulard41d.eot	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:42	18028/18028	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Aug%202018%2006:32:41%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.woff2	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.woff2	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:47	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Aug%202018%2006:32:45%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.svg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.svg	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:47	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2002%20Aug%202018%2006:32:44%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.woff	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.woff	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:50	135382/135382	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:35%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/blog/blog1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/blog/blog1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
09:32:52	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2002%20Aug%202018%2006:32:45%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.ttf	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/glyphicons-halflings-regular.ttf	(from http://kamleshyadav.com/html/catering/catering-default/css/bootstrap.css)
09:32:58	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2002%20Aug%202018%2006:32:49%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont.eot?v=4.5.0	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont3295.eot	(from http://kamleshyadav.com/html/catering/catering-default/css/font-awesome.css)
09:32:59	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2002%20Aug%202018%2006:32:50%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont.eot?	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfontd41d.eot	(from http://kamleshyadav.com/html/catering/catering-default/css/font-awesome.css)
09:33:03	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Aug%202018%2006:33:01%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont.svg?v=4.5.0	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont3295.svg	(from http://kamleshyadav.com/html/catering/catering-default/css/font-awesome.css)
09:33:04	66624/66624	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Aug%202018%2006:32:52%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont.woff2?v=4.5.0	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont3295.woff2	(from http://kamleshyadav.com/html/catering/catering-default/css/font-awesome.css)
09:33:07	83588/83588	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2002%20Aug%202018%2006:32:54%20GMT	http://kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont.woff?v=4.5.0	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/fonts/fontawesome-webfont3295.woff	(from http://kamleshyadav.com/html/catering/catering-default/css/font-awesome.css)
